Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1996","1996","ha","284080","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1996","1996","100 g/ha","142192","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1996","1996","t","4039400","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1997","1997","ha","284170","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1997","1997","100 g/ha","144435","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1997","1997","t","4104400","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1998","1998","ha","285180","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1998","1998","100 g/ha","145413","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1998","1998","t","4146900","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","1999","1999","ha","284740","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","1999","1999","100 g/ha","146132","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","1999","1999","t","4160960","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","2000","2000","ha","283121","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","2000","2000","100 g/ha","153312","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","2000","2000","t","4340585","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","2001","2001","ha","280078","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","2001","2001","100 g/ha","155808","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","2001","2001","t","4363838","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","2002","2002","ha","268240","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","2002","2002","100 g/ha","159141","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","2002","2002","t","4268803","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","2003","2003","ha","268390","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","2003","2003","100 g/ha","168153","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","2003","2003","t","4513066","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","2004","2004","ha","258921","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","2004","2004","100 g/ha","162157","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","2004","2004","t","4198595","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","2005","2005","ha","256780","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","2005","2005","100 g/ha","170302","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","2005","2005","t","4373010","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","2006","2006","ha","244028","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01290.01","Green corn (maize)","2006","2006","100 g/ha","174297","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01290.01","Green corn (maize)","2006","2006","t","4253324","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01290.01","Green corn (maize)","2007","2007","ha","243462","A","Official figure",""
