Domain,Area,Item,Year,Area harvested,Flag,Flag Description,Yield,Production
Crops and livestock products,United States of America,Apples,2005,149354.0,A,Official figure,293587.0,4384832.0
Crops and livestock products,United States of America,Apples,2006,145683.0,A,Official figure,305857.0,4455819.0
Crops and livestock products,United States of America,Apples,2007,142000.0,A,Official figure,290344.0,4122883.0
Crops and livestock products,United States of America,Apples,2008,141151.0,A,Official figure,309247.0,4365055.0
Crops and livestock products,United States of America,Apples,2009,139576.0,A,Official figure,314830.0,4394267.0
Crops and livestock products,United States of America,Apples,2010,136217.0,A,Official figure,309087.0,4210290.0
Crops and livestock products,United States of America,Apples,2011,133870.0,A,Official figure,319842.0,4281731.0
Crops and livestock products,United States of America,Apples,2012,131604.0,A,Official figure,309933.0,4078839.0
Crops and livestock products,United States of America,Apples,2013,130661.0,A,Official figure,362135.0,4731694.0
Crops and livestock products,United States of America,Apples,2014,128763.0,A,Official figure,416171.0,5358740.0
Crops and livestock products,United States of America,Apples,2015,131030.0,A,Official figure,347767.0,4556790.0
Crops and livestock products,United States of America,Apples,2016,133060.0,A,Official figure,391856.0,5214040.0
Crops and livestock products,United States of America,Apples,2017,132820.0,A,Official figure,394569.0,5240670.0
Crops and livestock products,United States of America,Apples,2018,117600.0,A,Official figure,394965.0,4644790.0
Crops and livestock products,United States of America,Apples,2019,119301.0,A,Official figure,421498.0,5028526.46
Crops and livestock products,United States of America,Apples,2020,119707.0,A,Official figure,389718.0,4665199.0
Crops and livestock products,United States of America,Apples,2021,116874.0,A,Official figure,385484.0,4505310.0
Crops and livestock products,United States of America,Apples,2022,116753.0,A,Official figure,379376.0,4429330.0
Crops and livestock products,United States of America,Apricots,1980,10040.0,A,Official figure,116564.0,117030.0
Crops and livestock products,United States of America,Apricots,1981,9430.0,A,Official figure,86002.0,81100.0
Crops and livestock products,United States of America,Apricots,1982,9100.0,A,Official figure,117835.0,107230.0
Crops and livestock products,United States of America,Apricots,1983,8820.0,A,Official figure,95658.0,84370.0
Crops and livestock products,United States of America,Apricots,1984,8460.0,A,Official figure,136395.0,115390.0
Crops and livestock products,United States of America,Apricots,1985,8093.0,A,Official figure,146843.0,118840.0
Crops and livestock products,United States of America,Apricots,1986,7930.0,A,Official figure,62547.0,49600.0
Crops and livestock products,United States of America,Apricots,1987,7770.0,A,Official figure,133591.0,103800.0
Crops and livestock products,United States of America,Apricots,1988,7770.0,A,Official figure,119048.0,92500.0
Crops and livestock products,United States of America,Apricots,1989,7580.0,A,Official figure,143799.0,109000.0
Crops and livestock products,United States of America,Apricots,1990,7420.0,A,Official figure,149710.0,111085.0
Crops and livestock products,United States of America,Apricots,1991,7590.0,A,Official figure,114503.0,86908.0
Crops and livestock products,United States of America,Apricots,1992,7928.0,A,Official figure,121751.0,96524.0
Crops and livestock products,United States of America,Apricots,1993,8413.0,A,Official figure,104973.0,88314.0
Crops and livestock products,United States of America,Apricots,1994,8616.0,A,Official figure,161305.0,138980.0
Crops and livestock products,United States of America,Apricots,1995,8575.0,A,Official figure,64005.0,54884.0
Crops and livestock products,United States of America,Apricots,1996,8733.0,A,Official figure,82376.0,71939.0
Crops and livestock products,United States of America,Apricots,1997,8660.0,A,Official figure,145851.0,126307.0
Crops and livestock products,United States of America,Apricots,1998,8652.0,A,Official figure,124239.0,107492.0
Crops and livestock products,United States of America,Apricots,1999,8248.0,A,Official figure,99539.0,82100.0
Crops and livestock products,United States of America,Apricots,2000,8248.0,A,Official figure,106579.0,87906.0
Crops and livestock products,United States of America,Apricots,2001,7835.0,A,Official figure,95477.0,74806.0
Crops and livestock products,United States of America,Apricots,2002,7017.0,A,Official figure,116406.0,81682.0
Crops and livestock products,United States of America,Apricots,2003,6694.0,A,Official figure,132242.0,88523.0
Crops and livestock products,United States of America,Apricots,2004,6006.0,A,Official figure,152752.0,91743.0
Crops and livestock products,United States of America,Apricots,2005,5641.0,A,Official figure,131308.0,74071.0
Crops and livestock products,United States of America,Apricots,2006,5281.0,A,Official figure,76408.0,40351.0
Crops and livestock products,United States of America,Apricots,2007,5119.0,A,Official figure,156767.0,80249.0
Crops and livestock products,United States of America,Apricots,2008,5038.0,A,Official figure,146953.0,74035.0
Crops and livestock products,United States of America,Apricots,2009,4998.0,A,Official figure,124732.0,62341.0
Crops and livestock products,United States of America,Apricots,2010,4917.0,A,Official figure,122471.0,60219.0
